tourney_year_id,tourney_order,tourney_type,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_date,year,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit_raw,currency,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id
2003-7308,3,,Adelaide,7308,adelaide,Adelaide,2002.12.30,2003,12,30,32,16,Outdoor,Hard,"$347,000",USD,347000,/en/scores/archive/adelaide/7308/2003/results,Nikolay Davydenko,/en/players/nikolay-davydenko/d402/overview,nikolay-davydenko,d402,Jeff Coetzee,/en/players/jeff-coetzee/c493/overview,jeff-coetzee,c493,Chris Haggard,/en/players/chris-haggard/h340/overview,chris-haggard,h340
2003-301,4,,Auckland,301,auckland,Auckland,2003.01.06,2003,1,6,32,16,Outdoor,Hard,"$347,000",USD,347000,/en/scores/archive/auckland/301/2003/results,Gustavo Kuerten,/en/players/gustavo-kuerten/k293/overview,gustavo-kuerten,k293,David Adams,/en/players/david-adams/a177/overview,david-adams,a177,Robbie Koenig,/en/players/robbie-koenig/k219/overview,robbie-koenig,k219
2003-338,5,,Sydney,338,sydney,Sydney,2003.01.06,2003,1,6,32,16,Outdoor,Hard,"$347,000",USD,347000,/en/scores/archive/sydney/338/2003/results,Hyung-Taik Lee,/en/players/hyung-taik-lee/l311/overview,hyung-taik-lee,l311,Paul Hanley,/en/players/paul-hanley/h421/overview,paul-hanley,h421,Nathan Healey,/en/players/nathan-healey/h431/overview,nathan-healey,h431
2003-580,6,Grand Slam,Australian Open,580,australian-open,Melbourne,2003.01.13,2003,1,13,128,64,Outdoor,Hard,"$4,861,502",USD,4861502,/en/scores/archive/australian-open/580/2003/results,Andre Agassi,/en/players/andre-agassi/a092/overview,andre-agassi,a092,Michael Llodra,/en/players/michael-llodra/l428/overview,michael-llodra,l428,Fabrice Santoro,/en/players/fabrice-santoro/s424/overview,fabrice-santoro,s424
2003-408,7,,Milan,408,milan,Milan,2003.01.27,2003,1,27,32,16,Indoor,Carpet,"$380,000",USD,380000,/en/scores/archive/milan/408/2003/results,Martin Verkerk,/en/players/martin-verkerk/v232/overview,martin-verkerk,v232,Petr Luxa,/en/players/petr-luxa/l353/overview,petr-luxa,l353,Radek Stepanek,/en/players/radek-stepanek/s694/overview,radek-stepanek,s694
2003-496,8,,Marseille,496,marseille,Marseille,2003.02.10,2003,2,10,32,16,Indoor,Hard,"$500,000",USD,500000,/en/scores/archive/marseille/496/2003/results,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Sebastien Grosjean,/en/players/sebastien-grosjean/g379/overview,sebastien-grosjean,g379,Fabrice Santoro,/en/players/fabrice-santoro/s424/overview,fabrice-santoro,s424
2003-424,9,,San Jose,424,san-jose,San Jose,2003.02.10,2003,2,10,32,16,Indoor,Hard,"$380,000",USD,380000,/en/scores/archive/san-jose/424/2003/results,Andre Agassi,/en/players/andre-agassi/a092/overview,andre-agassi,a092,Hyung-Taik Lee,/en/players/hyung-taik-lee/l311/overview,hyung-taik-lee,l311,Vladimir Voltchkov,/en/players/vladimir-voltchkov/v211/overview,vladimir-voltchkov,v211
2003-8996,10,,Vina del Mar,8996,vina-del-mar,Vina Del Mar,2003.02.10,2003,2,10,32,16,Outdoor,Clay,"$345,000",USD,345000,/en/scores/archive/vina-del-mar/8996/2003/results,David Sanchez,/en/players/david-sanchez/s677/overview,david-sanchez,s677,Agustin Calleri,/en/players/agustin-calleri/c478/overview,agustin-calleri,c478,Mariano Hood,/en/players/mariano-hood/h322/overview,mariano-hood,h322
2003-407,11,,Rotterdam,407,rotterdam,Rotterdam,2003.02.17,2003,2,17,32,16,Indoor,Hard,"$825,000",USD,825000,/en/scores/archive/rotterdam/407/2003/results,Max Mirnyi,/en/players/max-mirnyi/m595/overview,max-mirnyi,m595,Wayne Arthurs,/en/players/wayne-arthurs/a202/overview,wayne-arthurs,a202,Paul Hanley,/en/players/paul-hanley/h421/overview,paul-hanley,h421
2003-402,12,,Memphis,402,memphis,Memphis,2003.02.17,2003,2,17,32,16,Indoor,Hard,"$690,000",USD,690000,/en/scores/archive/memphis/402/2003/results,Taylor Dent,/en/players/taylor-dent/d362/overview,taylor-dent,d362,Mark Knowles,/en/players/mark-knowles/k171/overview,mark-knowles,k171,Daniel Nestor,/en/players/daniel-nestor/n210/overview,daniel-nestor,n210
2003-506,13,,Buenos Aires,506,buenos-aires,Buenos Aires,2003.02.17,2003,2,17,32,16,Outdoor,Clay,"$380,000",USD,380000,/en/scores/archive/buenos-aires/506/2003/results,Carlos Moya,/en/players/carlos-moya/m605/overview,carlos-moya,m605,Mariano Hood,/en/players/mariano-hood/h322/overview,mariano-hood,h322,Sebastian Prieto,/en/players/sebastian-prieto/p324/overview,sebastian-prieto,p324
2003-495,14,,Dubai,495,dubai,Dubai,2003.02.24,2003,2,24,32,16,Outdoor,Hard,"$1,000,000",USD,1000000,/en/scores/archive/dubai/495/2003/results,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Leander Paes,/en/players/leander-paes/p269/overview,leander-paes,p269,David Rikl,/en/players/david-rikl/r203/overview,david-rikl,r203
2003-807,15,,Acapulco,807,acapulco,Acapulco,2003.02.24,2003,2,24,32,16,Outdoor,Clay,"$690,000",USD,690000,/en/scores/archive/acapulco/807/2003/results,Agustin Calleri,/en/players/agustin-calleri/c478/overview,agustin-calleri,c478,Mark Knowles,/en/players/mark-knowles/k171/overview,mark-knowles,k171,Daniel Nestor,/en/players/daniel-nestor/n210/overview,daniel-nestor,n210
2003-481,16,,Copenhagen,481,copenhagen,Copenhagen,2003.02.24,2003,2,24,32,16,Indoor,Hard,"$380,000",USD,380000,/en/scores/archive/copenhagen/481/2003/results,Karol Kucera,/en/players/karol-kucera/k237/overview,karol-kucera,k237,Tomas Cibulec,/en/players/tomas-cibulec/c460/overview,tomas-cibulec,c460,Pavel Vizner,/en/players/pavel-vizner/v137/overview,pavel-vizner,v137
2003-499,17,,Delray Beach,499,delray-beach,Delray Beach,2003.03.03,2003,3,3,32,16,Outdoor,Hard,"$380,000",USD,380000,/en/scores/archive/delray-beach/499/2003/results,Jan-Michael Gambill,/en/players/jan-michael-gambill/g352/overview,jan-michael-gambill,g352,Leander Paes,/en/players/leander-paes/p269/overview,leander-paes,p269,Nenad Zimonjic,/en/players/nenad-zimonjic/z072/overview,nenad-zimonjic,z072
2003-433,18,,Scottsdale,433,scottsdale,Scottsdale,2003.03.03,2003,3,3,32,16,Outdoor,Hard,"$380,000",USD,380000,/en/scores/archive/scottsdale/433/2003/results,Lleyton Hewitt,/en/players/lleyton-hewitt/h432/overview,lleyton-hewitt,h432,James Blake,/en/players/james-blake/b676/overview,james-blake,b676,Mark Merklein,/en/players/mark-merklein/m471/overview,mark-merklein,m471
2003-404,19,Masters 1000,ATP Masters 1000 Indian Wells,404,indian-wells,Indian Wells,2003.03.10,2003,3,10,64,24,Outdoor,Hard,"$2,450,000",USD,2450000,/en/scores/archive/indian-wells/404/2003/results,Lleyton Hewitt,/en/players/lleyton-hewitt/h432/overview,lleyton-hewitt,h432,Wayne Ferreira,/en/players/wayne-ferreira/f196/overview,wayne-ferreira,f196,Yevgeny Kafelnikov,/en/players/yevgeny-kafelnikov/k267/overview,yevgeny-kafelnikov,k267
2003-403,20,Masters 1000,ATP Masters 1000 Miami,403,miami,Miami,2003.03.17,2003,3,17,96,32,Outdoor,Hard,"$3,250,000",USD,3250000,/en/scores/archive/miami/403/2003/results,Andre Agassi,/en/players/andre-agassi/a092/overview,andre-agassi,a092,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Max Mirnyi,/en/players/max-mirnyi/m595/overview,max-mirnyi,m595
2003-468,21,,Estoril,468,estoril,Estoril,2003.04.07,2003,4,7,32,16,Outdoor,Clay,"$525,000",USD,525000,/en/scores/archive/estoril/468/2003/results,Nikolay Davydenko,/en/players/nikolay-davydenko/d402/overview,nikolay-davydenko,d402,Mahesh Bhupathi,/en/players/mahesh-bhupathi/b471/overview,mahesh-bhupathi,b471,Max Mirnyi,/en/players/max-mirnyi/m595/overview,max-mirnyi,m595
2003-360,22,,Casablanca,360,casablanca,Casablanca,2003.04.07,2003,4,7,32,16,Outdoor,Clay,"$400,000",USD,400000,/en/scores/archive/casablanca/360/2003/results,Julien Boutter,/en/players/julien-boutter/b599/overview,julien-boutter,b599,Frantisek Cermak,/en/players/frantisek-cermak/c445/overview,frantisek-cermak,c445,Leos Friedl,/en/players/leos-friedl/f299/overview,leos-friedl,f299
2003-410,23,Masters 1000,ATP Masters 1000 Monte Carlo,410,monte-carlo,Monte Carlo,2003.04.14,2003,4,14,64,24,Outdoor,Clay,"$2,450,000",USD,2450000,/en/scores/archive/monte-carlo/410/2003/results,Juan Carlos Ferrero,/en/players/juan-carlos-ferrero/f316/overview,juan-carlos-ferrero,f316,Mahesh Bhupathi,/en/players/mahesh-bhupathi/b471/overview,mahesh-bhupathi,b471,Max Mirnyi,/en/players/max-mirnyi/m595/overview,max-mirnyi,m595
2003-425,24,,Barcelona,425,barcelona,Barcelona,2003.04.21,2003,4,21,56,24,Outdoor,Clay,"$1,000,000",USD,1000000,/en/scores/archive/barcelona/425/2003/results,Carlos Moya,/en/players/carlos-moya/m605/overview,carlos-moya,m605,Bob Bryan,/en/players/bob-bryan/b588/overview,bob-bryan,b588,Mike Bryan,/en/players/mike-bryan/b589/overview,mike-bryan,b589
2003-717,25,,Houston,717,houston,Houston,2003.04.21,2003,4,21,32,16,Outdoor,Clay,"$380,000",USD,380000,/en/scores/archive/houston/717/2003/results,Andre Agassi,/en/players/andre-agassi/a092/overview,andre-agassi,a092,Mark Knowles,/en/players/mark-knowles/k171/overview,mark-knowles,k171,Daniel Nestor,/en/players/daniel-nestor/n210/overview,daniel-nestor,n210
2003-573,26,,Valencia,573,valencia,Valencia,2003.04.28,2003,4,28,32,16,Outdoor,Clay,"$400,000",USD,400000,/en/scores/archive/valencia/573/2003/results,Juan Carlos Ferrero,/en/players/juan-carlos-ferrero/f316/overview,juan-carlos-ferrero,f316,Lucas Arnold Ker,/en/players/lucas-arnold-ker/a228/overview,lucas-arnold-ker,a228,Mariano Hood,/en/players/mariano-hood/h322/overview,mariano-hood,h322
2003-308,27,,Munich,308,munich,Munich,2003.04.28,2003,4,28,32,16,Outdoor,Clay,"$380,000",USD,380000,/en/scores/archive/munich/308/2003/results,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Wayne Black,/en/players/wayne-black/b499/overview,wayne-black,b499,Kevin Ullyett,/en/players/kevin-ullyett/u024/overview,kevin-ullyett,u024
2003-416,28,Masters 1000,ATP Masters 1000 Rome,416,rome,Rome,2003.05.05,2003,5,5,64,24,Outdoor,Clay,"$2,450,000",USD,2450000,/en/scores/archive/rome/416/2003/results,Felix Mantilla,/en/players/felix-mantilla/m535/overview,felix-mantilla,m535,Wayne Arthurs,/en/players/wayne-arthurs/a202/overview,wayne-arthurs,a202,Paul Hanley,/en/players/paul-hanley/h421/overview,paul-hanley,h421
2003-414,29,Masters 1000,ATP Masters 1000 Hamburg,414,hamburg,Hamburg,2003.05.12,2003,5,12,64,24,Outdoor,Clay,"$2,450,000",USD,2450000,/en/scores/archive/hamburg/414/2003/results,Guillermo Coria,/en/players/guillermo-coria/c524/overview,guillermo-coria,c524,Mark Knowles,/en/players/mark-knowles/k171/overview,mark-knowles,k171,Daniel Nestor,/en/players/daniel-nestor/n210/overview,daniel-nestor,n210
2003-615,30,,World Team Cup,615,dusseldorf,Dusseldorf,2003.05.19,2003,5,19,64,64,Outdoor,Clay,"$1,850,000",USD,1850000,/en/scores/archive/dusseldorf/615/2003/results,Fernando Gonzalez,/en/players/fernando-gonzalez/g415/overview,fernando-gonzalez,g415,Fernando Gonzalez,/en/players/fernando-gonzalez/g415/overview,fernando-gonzalez,g415,Nicolas Massu,/en/players/nicolas-massu/m655/overview,nicolas-massu,m655
2003-306,31,,St. Polten,306,st-polten,St. Polten,2003.05.19,2003,5,19,32,16,Outdoor,Clay,"$380,000",USD,380000,/en/scores/archive/st-polten/306/2003/results,Andy Roddick,/en/players/andy-roddick/r485/overview,andy-roddick,r485,Simon Aspelin,/en/players/simon-aspelin/a324/overview,simon-aspelin,a324,Massimo Bertolini,/en/players/massimo-bertolini/b450/overview,massimo-bertolini,b450
2003-520,32,Grand Slam,Roland Garros,520,roland-garros,Paris,2003.05.26,2003,5,26,128,64,Outdoor,Clay,"$7,202,717",USD,7202717,/en/scores/archive/roland-garros/520/2003/results,Juan Carlos Ferrero,/en/players/juan-carlos-ferrero/f316/overview,juan-carlos-ferrero,f316,Bob Bryan,/en/players/bob-bryan/b588/overview,bob-bryan,b588,Mike Bryan,/en/players/mike-bryan/b589/overview,mike-bryan,b589
2003-311,33,,London / Queen's Club,311,london,London,2003.06.09,2003,6,9,56,24,Outdoor,Grass,"$800,000",USD,800000,/en/scores/archive/london/311/2003/results,Andy Roddick,/en/players/andy-roddick/r485/overview,andy-roddick,r485,Mark Knowles,/en/players/mark-knowles/k171/overview,mark-knowles,k171,Daniel Nestor,/en/players/daniel-nestor/n210/overview,daniel-nestor,n210
2003-500,34,,Halle,500,halle,Halle,2003.06.09,2003,6,9,32,16,Outdoor,Grass,"$775,000",USD,775000,/en/scores/archive/halle/500/2003/results,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Jonas Bjorkman,/en/players/jonas-bjorkman/b446/overview,jonas-bjorkman,b446,Todd Woodbridge,/en/players/todd-woodbridge/w136/overview,todd-woodbridge,w136
2003-741,35,,Nottingham,741,nottingham,Nottingham,2003.06.16,2003,6,16,32,16,Outdoor,Grass,"$380,000",USD,380000,/en/scores/archive/nottingham/741/2003/results,Greg Rusedski,/en/players/greg-rusedski/r237/overview,greg-rusedski,r237,Bob Bryan,/en/players/bob-bryan/b588/overview,bob-bryan,b588,Mike Bryan,/en/players/mike-bryan/b589/overview,mike-bryan,b589
2003-440,36,,'s-Hertogenbosch,440,s-hertogenbosch,s-Hertogenbosch,2003.06.16,2003,6,16,32,16,Outdoor,Grass,"$380,000",USD,380000,/en/scores/archive/s-hertogenbosch/440/2003/results,Sjeng Schalken,/en/players/sjeng-schalken/s572/overview,sjeng-schalken,s572,Martin Damm,/en/players/martin-damm/d214/overview,martin-damm,d214,Cyril Suk,/en/players/cyril-suk/s329/overview,cyril-suk,s329
2003-540,37,Grand Slam,Wimbledon,540,wimbledon,London,2003.06.23,2003,6,23,128,64,Outdoor,Grass,"$7,229,232",USD,7229232,/en/scores/archive/wimbledon/540/2003/results,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Jonas Bjorkman,/en/players/jonas-bjorkman/b446/overview,jonas-bjorkman,b446,Todd Woodbridge,/en/players/todd-woodbridge/w136/overview,todd-woodbridge,w136
2003-314,38,,Gstaad,314,gstaad,Gstaad,2003.07.07,2003,7,7,32,16,Outdoor,Clay,"$550,000",USD,550000,/en/scores/archive/gstaad/314/2003/results,Jiri Novak,/en/players/jiri-novak/n254/overview,jiri-novak,n254,Leander Paes,/en/players/leander-paes/p269/overview,leander-paes,p269,David Rikl,/en/players/david-rikl/r203/overview,david-rikl,r203
2003-316,39,,Bastad,316,bastad,Bastad,2003.07.07,2003,7,7,32,16,Outdoor,Clay,"$380,000",USD,380000,/en/scores/archive/bastad/316/2003/results,Mariano Zabaleta,/en/players/mariano-zabaleta/z073/overview,mariano-zabaleta,z073,Simon Aspelin,/en/players/simon-aspelin/a324/overview,simon-aspelin,a324,Massimo Bertolini,/en/players/massimo-bertolini/b450/overview,massimo-bertolini,b450
2003-315,40,,Newport,315,newport,Newport,2003.07.07,2003,7,7,32,16,Outdoor,Grass,"$380,000",USD,380000,/en/scores/archive/newport/315/2003/results,Robby Ginepri,/en/players/robby-ginepri/g569/overview,robby-ginepri,g569,Jordan Kerr,/en/players/jordan-kerr/k364/overview,jordan-kerr,k364,David Macpherson,/en/players/david-macpherson/m004/overview,david-macpherson,m004
2003-321,41,,Stuttgart,321,stuttgart,Stuttgart,2003.07.14,2003,7,14,48,16,Outdoor,Clay,"$765,000",USD,765000,/en/scores/archive/stuttgart/321/2003/results,Guillermo Coria,/en/players/guillermo-coria/c524/overview,guillermo-coria,c524,Tomas Cibulec,/en/players/tomas-cibulec/c460/overview,tomas-cibulec,c460,Pavel Vizner,/en/players/pavel-vizner/v137/overview,pavel-vizner,v137
2003-317,42,,Amersfoort,317,amersfoort,Amersfoort,2003.07.14,2003,7,14,32,16,Outdoor,Clay,"$380,000",USD,380000,/en/scores/archive/amersfoort/317/2003/results,Nicolas Massu,/en/players/nicolas-massu/m655/overview,nicolas-massu,m655,Devin Bowen,/en/players/devin-bowen/b460/overview,devin-bowen,b460,Ashley Fisher,/en/players/ashley-fisher/f304/overview,ashley-fisher,f304
2003-319,43,,Kitzbuhel,319,kitzbuhel,Kitzbuhel,2003.07.21,2003,7,21,48,16,Outdoor,Clay,"$925,000",USD,925000,/en/scores/archive/kitzbuhel/319/2003/results,Guillermo Coria,/en/players/guillermo-coria/c524/overview,guillermo-coria,c524,Martin Damm,/en/players/martin-damm/d214/overview,martin-damm,d214,Cyril Suk,/en/players/cyril-suk/s329/overview,cyril-suk,s329
2003-419,44,,Indianapolis,419,indianapolis,Indianapolis,2003.07.21,2003,7,21,48,16,Outdoor,Hard,"$600,000",USD,600000,/en/scores/archive/indianapolis/419/2003/results,Andy Roddick,/en/players/andy-roddick/r485/overview,andy-roddick,r485,Mario Ancic,/en/players/mario-ancic/a385/overview,mario-ancic,a385,Andy Ram,/en/players/andy-ram/r399/overview,andy-ram,r399
2003-439,45,,Umag,439,umag,Umag,2003.07.21,2003,7,21,32,16,Outdoor,Clay,"$400,000",USD,400000,/en/scores/archive/umag/439/2003/results,Carlos Moya,/en/players/carlos-moya/m605/overview,carlos-moya,m605,Alex Lopez Moron,/en/players/alex-lopez-moron/l231/overview,alex-lopez-moron,l231,Rafael Nadal,/en/players/rafael-nadal/n409/overview,rafael-nadal,n409
2003-418,46,,Washington,418,washington,Washington,2003.07.28,2003,7,28,48,16,Outdoor,Hard,"$600,000",USD,600000,/en/scores/archive/washington/418/2003/results,Tim Henman,/en/players/tim-henman/h336/overview,tim-henman,h336,Yevgeny Kafelnikov,/en/players/yevgeny-kafelnikov/k267/overview,yevgeny-kafelnikov,k267,Sargis Sargsian,/en/players/sargis-sargsian/s545/overview,sargis-sargsian,s545
2003-475,47,,Sopot,475,sopot,Sopot,2003.07.28,2003,7,28,32,16,Outdoor,Clay,"$500,000",USD,500000,/en/scores/archive/sopot/475/2003/results,Guillermo Coria,/en/players/guillermo-coria/c524/overview,guillermo-coria,c524,Mariusz Fyrstenberg,/en/players/mariusz-fyrstenberg/f364/overview,mariusz-fyrstenberg,f364,Marcin Matkowski,/en/players/marcin-matkowski/m844/overview,marcin-matkowski,m844
2003-423,48,,Los Angeles,423,los-angeles,Los Angeles,2003.07.28,2003,7,28,32,16,Outdoor,Hard,"$380,000",USD,380000,/en/scores/archive/los-angeles/423/2003/results,Wayne Ferreira,/en/players/wayne-ferreira/f196/overview,wayne-ferreira,f196,Jan-Michael Gambill,/en/players/jan-michael-gambill/g352/overview,jan-michael-gambill,g352,Travis Parrott,/en/players/travis-parrott/p470/overview,travis-parrott,p470
2003-421,49,Masters 1000,ATP Masters 1000 Canada,421,montreal,Montreal,2003.08.04,2003,8,4,64,24,Outdoor,Hard,"$2,450,000",USD,2450000,/en/scores/archive/montreal/421/2003/results,Andy Roddick,/en/players/andy-roddick/r485/overview,andy-roddick,r485,Mahesh Bhupathi,/en/players/mahesh-bhupathi/b471/overview,mahesh-bhupathi,b471,Max Mirnyi,/en/players/max-mirnyi/m595/overview,max-mirnyi,m595
2003-422,50,Masters 1000,ATP Masters 1000 Cincinnati,422,cincinnati,Cincinnati,2003.08.11,2003,8,11,64,24,Outdoor,Hard,"$2,450,000",USD,2450000,/en/scores/archive/cincinnati/422/2003/results,Andy Roddick,/en/players/andy-roddick/r485/overview,andy-roddick,r485,Bob Bryan,/en/players/bob-bryan/b588/overview,bob-bryan,b588,Mike Bryan,/en/players/mike-bryan/b589/overview,mike-bryan,b589
2003-441,51,,Long Island,441,long-island,Long Island,2003.08.18,2003,8,18,32,16,Outdoor,Hard,"$380,000",USD,380000,/en/scores/archive/long-island/441/2003/results,Paradorn Srichaphan,/en/players/paradorn-srichaphan/s675/overview,paradorn-srichaphan,s675,Robbie Koenig,/en/players/robbie-koenig/k219/overview,robbie-koenig,k219,Martin Rodriguez,/en/players/martin-rodriguez/r251/overview,martin-rodriguez,r251
2003-560,52,Grand Slam,US Open,560,us-open,New York,2003.08.25,2003,8,25,128,64,Outdoor,Hard,"$7,336,000",USD,7336000,/en/scores/archive/us-open/560/2003/results,Andy Roddick,/en/players/andy-roddick/r485/overview,andy-roddick,r485,Jonas Bjorkman,/en/players/jonas-bjorkman/b446/overview,jonas-bjorkman,b446,Todd Woodbridge,/en/players/todd-woodbridge/w136/overview,todd-woodbridge,w136
2003-773,53,,Bucharest,773,bucharest,Bucharest,2003.09.08,2003,9,8,32,16,Outdoor,Clay,"$380,000",USD,380000,/en/scores/archive/bucharest/773/2003/results,David Sanchez,/en/players/david-sanchez/s677/overview,david-sanchez,s677,Karsten Braasch,/en/players/karsten-braasch/b305/overview,karsten-braasch,b305,Sargis Sargsian,/en/players/sargis-sargsian/s545/overview,sargis-sargsian,s545
2003-533,54,,Costa do Sauipe,533,costa-do-sauipe,Costa do Sauipe,2003.09.08,2003,9,8,32,16,Outdoor,Hard,"$380,000",USD,380000,/en/scores/archive/costa-do-sauipe/533/2003/results,Sjeng Schalken,/en/players/sjeng-schalken/s572/overview,sjeng-schalken,s572,Todd Perry,/en/players/todd-perry/p485/overview,todd-perry,p485,Thomas Shimada,/en/players/thomas-shimada/s579/overview,thomas-shimada,s579
2003-1720,55,,Bangkok,1720,bangkok,Bangkok,2003.09.22,2003,9,22,32,16,Indoor,Hard,"$525,000",USD,525000,/en/scores/archive/bangkok/1720/2003/results,Taylor Dent,/en/players/taylor-dent/d362/overview,taylor-dent,d362,Jonathan Erlich,/en/players/jonathan-erlich/e152/overview,jonathan-erlich,e152,Andy Ram,/en/players/andy-ram/r399/overview,andy-ram,r399
2003-325,56,,Palermo,325,palermo,Palermo,2003.09.22,2003,9,22,32,16,Outdoor,Clay,"$380,000",USD,380000,/en/scores/archive/palermo/325/2003/results,Nicolas Massu,/en/players/nicolas-massu/m655/overview,nicolas-massu,m655,Lucas Arnold Ker,/en/players/lucas-arnold-ker/a228/overview,lucas-arnold-ker,a228,Mariano Hood,/en/players/mariano-hood/h322/overview,mariano-hood,h322
2003-890,57,,Shanghai,890,shanghai,Shanghai,2003.09.22,2003,9,22,32,16,Outdoor,Hard,"$380,000",USD,380000,/en/scores/archive/shanghai/890/2003/results,Mark Philippoussis,/en/players/mark-philippoussis/p338/overview,mark-philippoussis,p338,Wayne Arthurs,/en/players/wayne-arthurs/a202/overview,wayne-arthurs,a202,Paul Hanley,/en/players/paul-hanley/h421/overview,paul-hanley,h421
2003-438,58,,Moscow,438,moscow,Moscow,2003.09.29,2003,9,29,32,16,Indoor,Carpet,"$1,000,000",USD,1000000,/en/scores/archive/moscow/438/2003/results,Taylor Dent,/en/players/taylor-dent/d362/overview,taylor-dent,d362,Mahesh Bhupathi,/en/players/mahesh-bhupathi/b471/overview,mahesh-bhupathi,b471,Max Mirnyi,/en/players/max-mirnyi/m595/overview,max-mirnyi,m595
2003-329,59,,Tokyo,329,tokyo,Tokyo,2003.09.29,2003,9,29,48,16,Outdoor,Hard,"$690,000",USD,690000,/en/scores/archive/tokyo/329/2003/results,Rainer Schuettler,/en/players/rainer-schuettler/s636/overview,rainer-schuettler,s636,Justin Gimelstob,/en/players/justin-gimelstob/g354/overview,justin-gimelstob,g354,Nicolas Kiefer,/en/players/nicolas-kiefer/k316/overview,nicolas-kiefer,k316
2003-341,60,,Metz,341,metz,Metz,2003.09.29,2003,9,29,32,16,Indoor,Hard,"$380,000",USD,380000,/en/scores/archive/metz/341/2003/results,Arnaud Clement,/en/players/arnaud-clement/c487/overview,arnaud-clement,c487,Julien Benneteau,/en/players/julien-benneteau/b747/overview,julien-benneteau,b747,Nicolas Mahut,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,m873
2003-7309,61,,Lyon,7309,lyon,Lyon,2003.10.06,2003,10,6,32,16,Indoor,Carpet,"$800,000",USD,800000,/en/scores/archive/lyon/7309/2003/results,Rainer Schuettler,/en/players/rainer-schuettler/s636/overview,rainer-schuettler,s636,Jonathan Erlich,/en/players/jonathan-erlich/e152/overview,jonathan-erlich,e152,Andy Ram,/en/players/andy-ram/r399/overview,andy-ram,r399
2003-337,62,,Vienna,337,vienna,Vienna,2003.10.06,2003,10,6,32,16,Indoor,Hard,"$765,000",USD,765000,/en/scores/archive/vienna/337/2003/results,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324,Yves Allegro,/en/players/yves-allegro/a293/overview,yves-allegro,a293,Roger Federer,/en/players/roger-federer/f324/overview,roger-federer,f324
2003-1536,63,Masters 1000,ATP Masters 1000 Madrid,1536,madrid,Madrid,2003.10.13,2003,10,13,48,16,Indoor,Hard,"$2,240,000",USD,2240000,/en/scores/archive/madrid/1536/2003/results,Juan Carlos Ferrero,/en/players/juan-carlos-ferrero/f316/overview,juan-carlos-ferrero,f316,Mahesh Bhupathi,/en/players/mahesh-bhupathi/b471/overview,mahesh-bhupathi,b471,Max Mirnyi,/en/players/max-mirnyi/m595/overview,max-mirnyi,m595
2003-328,64,,Basel,328,basel,Basel,2003.10.20,2003,10,20,32,16,Indoor,Carpet,"$1,000,000",USD,1000000,/en/scores/archive/basel/328/2003/results,Guillermo Coria,/en/players/guillermo-coria/c524/overview,guillermo-coria,c524,Mark Knowles,/en/players/mark-knowles/k171/overview,mark-knowles,k171,Daniel Nestor,/en/players/daniel-nestor/n210/overview,daniel-nestor,n210
2003-568,65,,St. Petersburg,568,st-petersburg,St. Petersburg,2003.10.20,2003,10,20,32,16,Indoor,Hard,"$1,000,000",USD,1000000,/en/scores/archive/st-petersburg/568/2003/results,Gustavo Kuerten,/en/players/gustavo-kuerten/k293/overview,gustavo-kuerten,k293,Julian Knowle,/en/players/julian-knowle/k263/overview,julian-knowle,k263,Nenad Zimonjic,/en/players/nenad-zimonjic/z072/overview,nenad-zimonjic,z072
2003-429,66,,Stockholm,429,stockholm,Stockholm,2003.10.20,2003,10,20,32,16,Indoor,Hard,"$650,000",USD,650000,/en/scores/archive/stockholm/429/2003/results,Mardy Fish,/en/players/mardy-fish/f339/overview,mardy-fish,f339,Jonas Bjorkman,/en/players/jonas-bjorkman/b446/overview,jonas-bjorkman,b446,Todd Woodbridge,/en/players/todd-woodbridge/w136/overview,todd-woodbridge,w136
2003-352,67,Masters 1000,ATP Masters 1000 Paris,352,paris,Paris,2003.10.27,2003,10,27,48,16,Indoor,Carpet,"$2,240,000",USD,2240000,/en/scores/archive/paris/352/2003/results,Tim Henman,/en/players/tim-henman/h336/overview,tim-henman,h336,Wayne Arthurs,/en/players/wayne-arthurs/a202/overview,wayne-arthurs,a202,Paul Hanley,/en/players/paul-hanley/h421/overview,paul-hanley,h421
